point_id,latitude,longitude,Code,ratio_cs_sr,organic_carbon_b0,organic_carbon_b10,clay_fraction_0_30,clay_fraction_30_60,sand_fraction_b0,sand_fraction_b10,bulk_density_b0,bulk_density_b10,soil_pH_b0,soil_pH_b10,elevation_m,slope_deg_final,twi_scaled,cs137_kBq_m2,sr90_kBq_m2,k40_Bq_kg,ra226_Bq_kg,th232_Bq_kg,scenario_name
242,50.96457,29.91055,1364,3.98,4.0,5.0,15.0,16.0,60.0,60.0,126.0,126.0,60.0,60.0,145.0,15.8,5.55,7.72,1.94,80.0,6.0,6.0,baseline
243,50.96309,29.88077,1366,7.86,3.0,3.0,18.0,20.0,57.0,58.0,137.0,138.0,64.0,64.0,126.0,12.3,5.71,51.0,6.49,88.0,8.0,7.0,baseline
244,50.96238,29.86654,1368,6.56,5.0,5.0,16.0,17.0,57.0,57.0,131.0,129.0,60.0,59.0,119.0,20.3,5.51,32.8,5.0,135.0,15.0,15.0,baseline
245,50.96257,29.82359,1371,22.9,5.0,5.0,12.0,13.0,68.0,67.0,131.0,132.0,58.0,58.0,158.0,23.9,4.96,29.8,1.3,75.0,66.0,49.0,baseline
246,50.96294,29.7816,1374,4.27,4.0,4.0,13.0,15.0,66.0,65.0,131.0,131.0,56.0,56.0,153.0,18.8,5.39,29.9,7.0,372.0,24.0,25.0,baseline
247,50.96336,29.75333,1378,7.59,4.0,4.0,16.0,17.0,57.0,57.0,137.0,136.0,65.0,65.0,148.0,11.2,5.79,19.6,2.57,214.0,13.0,15.0,baseline
248,50.96312,29.73859,1379,9.78,4.0,5.0,17.0,18.0,61.0,61.0,138.0,139.0,62.0,62.0,158.0,9.9,5.76,25.2,2.57,180.0,9.5,10.0,baseline
249,50.961887,29.695044,1382,26.4,8.0,7.0,14.0,15.0,69.0,68.0,128.0,128.0,58.0,58.0,174.0,8.6,5.85,25.5,0.965,80.0,9.0,5.0,baseline
250,50.962583,29.651804,1385,10.2,5.0,5.0,12.0,13.0,75.0,75.0,129.0,129.0,56.0,56.0,161.0,19.7,5.61,24.9,2.44,98.0,16.0,11.0,baseline
251,50.962043,29.609604,1388,31.3,6.0,5.0,12.0,13.0,78.0,79.0,124.0,129.0,56.0,56.0,157.0,15.4,5.77,22.0,0.703,112.0,11.0,9.0,baseline
252,50.963843,29.568409,1391,9.43,5.0,4.0,12.0,14.0,75.0,75.0,117.0,123.0,55.0,55.0,161.0,14.1,5.28,11.2,1.19,64.0,7.0,4.0,baseline
253,50.962981,29.52422,1394,34.8,6.0,6.0,15.0,16.0,58.0,57.0,125.0,132.0,60.0,60.0,157.0,8.8,5.68,19.8,0.567,112.0,12.0,7.0,baseline
254,50.96309,29.48104,1396,15.3,9.0,8.0,15.0,17.0,61.0,62.0,125.0,133.0,60.0,60.0,177.0,10.6,5.46,16.0,1.04,77.0,10.0,5.0,baseline
255,50.96295,29.43806,1399,72.7,4.0,4.0,11.0,12.0,71.0,71.0,129.0,131.0,58.0,58.0,180.0,13.6,4.81,32.7,0.45,162.0,15.0,10.0,baseline
256,50.95675,29.88591,1417,7.14,5.0,5.0,16.0,18.0,60.0,61.0,130.0,131.0,62.0,62.0,117.0,20.5,5.73,31.5,4.42,193.0,25.0,10.0,baseline
257,50.956985,29.466881,1427,18.1,3.0,4.0,14.0,16.0,65.0,65.0,133.0,133.0,61.0,61.0,165.0,5.4,6.57,13.1,0.724,45.0,9.0,7.0,baseline
258,50.95397,29.481144,1433,18.7,3.0,3.0,17.0,18.0,62.0,61.0,134.0,134.0,62.0,62.0,162.0,5.7,6.91,19.3,1.04,180.0,9.0,8.0,baseline
259,50.953985,29.495439,1436,5.2,3.0,3.0,18.0,20.0,60.0,60.0,134.0,133.0,63.0,63.0,166.0,13.3,5.4,19.2,3.69,170.0,11.0,10.0,baseline
260,50.953985,29.566834,1443,13.3,4.0,4.0,17.0,18.0,58.0,58.0,131.0,130.0,65.0,65.0,150.0,18.4,5.37,20.5,1.55,139.0,13.0,9.0,baseline
261,50.953985,29.576353,1444,11.0,6.0,5.0,15.0,17.0,61.0,61.0,127.0,131.0,60.0,60.0,149.0,44.5,3.77,17.5,1.59,115.0,7.0,8.0,baseline
262,50.95394,29.75214,1460,9.59,3.0,3.0,15.0,17.0,65.0,65.0,135.0,135.0,60.0,60.0,157.0,3.5,6.35,41.0,4.27,286.0,21.0,16.0,baseline
263,50.95425,29.7667,1463,8.93,4.0,4.0,11.0,12.0,71.0,71.0,124.0,126.0,55.0,55.0,163.0,34.0,3.8,39.6,4.43,222.0,13.5,15.0,baseline
264,50.953443,29.927568,1475,13.5,4.0,4.0,17.0,19.0,51.0,51.0,126.0,127.0,65.0,65.0,131.0,44.8,3.81,73.8,5.46,60.0,5.0,12.0,baseline
265,50.95103,29.67626,1490,11.0,4.0,3.0,16.0,18.0,61.0,61.0,137.0,135.0,62.0,62.0,158.0,11.1,5.69,27.8,2.54,106.0,11.0,7.0,baseline
266,50.950989,29.581112,1491,9.52,4.0,4.0,14.0,15.0,61.0,60.0,133.0,132.0,63.0,63.0,140.0,21.8,4.56,17.3,1.82,71.0,8.0,5.0,baseline
267,50.94813,29.45218,1499,10.5,5.0,4.0,19.0,20.0,58.0,58.0,132.0,131.0,65.0,65.0,169.0,5.5,6.19,23.3,2.22,278.0,18.0,15.0,baseline
268,50.947991,29.7477,1502,7.78,5.0,4.0,15.0,16.0,68.0,68.0,127.0,128.0,59.0,59.0,156.0,5.5,6.34,31.1,4.0,224.0,17.0,14.0,baseline
269,50.94781,29.89494,1505,4.22,4.0,4.0,16.0,18.0,53.0,53.0,126.0,127.0,65.0,65.0,137.0,28.0,4.72,62.8,14.9,148.0,18.0,22.0,baseline
270,50.94806,29.90969,1508,9.72,5.0,5.0,19.0,20.0,55.0,55.0,132.0,133.0,59.0,60.0,117.0,19.7,4.55,63.1,6.49,190.0,16.0,18.0,baseline
271,50.94785,29.98131,1510,3.94,4.0,4.0,18.0,19.0,60.0,62.0,124.0,124.0,64.0,64.0,112.0,5.1,7.07,72.4,18.4,78.0,13.0,7.0,baseline
