Code,latitude,longitude,target_dose_rate,target_dose_rate_0_1m,organic_carbon_b0,organic_carbon_b10,clay_fraction_0_30,clay_fraction_30_60,sand_fraction_b0,sand_fraction_b10,bulk_density_b0,bulk_density_b10,soil_pH_b0,soil_pH_b10,elevation_m,slope_deg_final,twi_scaled
43,51.124842,29.98093,0.13,0.15,6.0,6.0,14.0,16.0,65.0,65.0,123.0,125.0,57.0,58.0,140.0,23.8,4.94
44,51.125124,29.965994,0.13,0.13,4.0,4.0,16.0,18.0,58.0,57.0,133.0,134.0,67.0,67.0,127.0,11.3,5.57
45,51.12493,29.95222,0.11,0.12,5.0,4.0,17.0,18.0,54.0,55.0,133.0,133.0,64.0,64.0,121.0,33.4,4.53
46,51.124069,29.947582,0.12,0.12,5.0,4.0,16.0,18.0,53.0,52.0,131.0,130.0,65.0,65.0,120.0,13.0,5.45
47,51.124848,29.942845,0.11,0.11,5.0,4.0,15.0,16.0,51.0,50.0,132.0,130.0,64.0,64.0,122.0,19.3,4.69
48,51.12447,29.93698,0.11,0.11,4.0,4.0,14.0,15.0,53.0,52.0,133.0,131.0,65.0,65.0,121.0,6.6,5.8
49,51.1253,29.932534,0.1,0.12,5.0,5.0,14.0,16.0,54.0,53.0,133.0,132.0,64.0,64.0,121.0,11.6,5.51
50,51.1253,29.927861,0.1,0.12,6.0,5.0,14.0,16.0,50.0,50.0,133.0,132.0,65.0,65.0,122.0,16.0,4.93
51,51.1256,29.92359,0.11,0.12,5.0,5.0,15.0,16.0,52.0,52.0,134.0,132.0,66.0,66.0,122.0,17.7,5.13
52,51.125417,29.918982,0.11,0.11,5.0,4.0,15.0,16.0,55.0,55.0,130.0,129.0,66.0,66.0,123.0,9.6,5.57
53,51.12571,29.914683,0.1,0.12,5.0,4.0,15.0,17.0,58.0,57.0,135.0,133.0,65.0,65.0,121.0,16.7,5.25
54,51.12606,29.90969,0.11,0.11,4.0,4.0,15.0,17.0,57.0,57.0,134.0,132.0,64.0,64.0,120.0,6.9,6.05
55,51.124848,29.895249,0.1,0.12,6.0,5.0,14.0,16.0,64.0,64.0,129.0,129.0,62.0,62.0,121.0,11.0,5.43
56,51.124842,29.880973,0.11,0.11,4.0,4.0,16.0,17.0,50.0,49.0,131.0,132.0,64.0,64.0,120.0,0.6,8.71
57,51.12501,29.86512,0.1,0.1,4.0,4.0,15.0,17.0,53.0,53.0,132.0,131.0,64.0,64.0,119.0,4.6,6.57
58,51.124842,29.852414,0.1,0.11,4.0,5.0,16.0,18.0,53.0,52.0,133.0,131.0,65.0,65.0,119.0,0.7,9.56
