Code,latitude,longitude,target_dose_rate,target_dose_rate_0_1m,organic_carbon_b0,organic_carbon_b10,clay_fraction_0_30,clay_fraction_30_60,sand_fraction_b0,sand_fraction_b10,bulk_density_b0,bulk_density_b10,soil_pH_b0,soil_pH_b10,elevation_m,slope_deg_final,twi_scaled
853,51.019934,29.495439,0.09,0.09,7.0,7.0,18.0,20.0,57.0,56.0,132.0,133.0,65.0,65.0,166.0,6.3,6.5
854,51.019934,29.514478,0.1,0.1,5.0,5.0,18.0,19.0,53.0,54.0,134.0,133.0,63.0,63.0,168.0,6.4,6.25
855,51.019934,29.519238,0.09,0.1,5.0,5.0,18.0,19.0,58.0,57.0,133.0,131.0,61.0,61.0,168.0,4.2,6.56
856,51.019934,29.562074,0.11,0.11,5.0,4.0,18.0,19.0,54.0,54.0,137.0,135.0,60.0,60.0,171.0,7.2,5.6
857,51.019934,29.566834,0.1,0.11,4.0,4.0,18.0,19.0,56.0,56.0,140.0,138.0,59.0,59.0,171.0,4.9,6.52
858,51.019934,29.685825,0.11,0.12,4.0,4.0,16.0,17.0,59.0,59.0,138.0,136.0,62.0,62.0,166.0,6.6,6.39
859,51.019934,29.695343,0.12,0.12,4.0,4.0,14.0,16.0,54.0,54.0,136.0,134.0,61.0,61.0,163.0,13.1,5.29
860,51.019934,29.700103,0.11,0.11,4.0,4.0,15.0,17.0,57.0,56.0,139.0,137.0,62.0,62.0,161.0,14.9,5.31
861,51.019934,29.704863,0.1,0.12,4.0,4.0,15.0,17.0,56.0,56.0,137.0,135.0,63.0,63.0,154.0,17.9,5.06
862,51.019934,29.852412,0.1,0.1,3.0,3.0,15.0,16.0,55.0,55.0,135.0,137.0,62.0,62.0,146.0,11.7,5.7
863,51.019934,29.857172,0.11,0.11,4.0,4.0,14.0,16.0,54.0,54.0,135.0,138.0,62.0,62.0,144.0,4.9,6.39
864,51.02015,29.86218,0.1,0.11,4.0,4.0,15.0,17.0,57.0,57.0,134.0,133.0,63.0,63.0,144.0,8.7,5.57
865,51.02003,29.94748,0.11,0.12,4.0,4.0,17.0,19.0,56.0,56.0,134.0,135.0,65.0,65.0,127.0,11.4,5.65
866,51.019934,29.942845,0.11,0.11,4.0,4.0,18.0,20.0,58.0,58.0,133.0,133.0,65.0,65.0,129.0,6.2,6.21
867,51.02009,29.95276,0.12,0.13,5.0,4.0,18.0,20.0,59.0,59.0,133.0,132.0,64.0,64.0,128.0,21.6,4.97
868,51.019934,30.01424,0.12,0.12,4.0,4.0,16.0,18.0,58.0,58.0,132.0,130.0,60.0,60.0,130.0,19.4,5.03
869,51.019934,30.018999,0.11,0.12,4.0,4.0,17.0,19.0,59.0,58.0,133.0,135.0,61.0,61.0,129.0,3.5,6.89
870,51.019934,30.023759,0.11,0.13,4.0,4.0,15.0,17.0,58.0,56.0,134.0,135.0,62.0,62.0,130.0,7.1,5.68
871,51.019934,30.028519,0.12,0.12,4.0,4.0,16.0,18.0,57.0,56.0,133.0,133.0,64.0,64.0,132.0,6.2,5.8
872,51.01951,30.05267,0.1,0.1,4.0,4.0,17.0,18.0,48.0,47.0,134.0,133.0,66.0,66.0,112.0,1.8,7.18
873,51.019572,30.056431,0.09,0.09,4.0,4.0,17.0,18.0,48.0,47.0,131.0,131.0,67.0,67.0,110.0,9.3,6.29
874,51.016936,30.123711,0.13,0.13,4.0,6.0,15.0,16.0,62.0,62.0,122.0,121.0,60.0,60.0,118.0,4.7,6.25
875,51.016936,30.109432,0.12,0.14,7.0,7.0,13.0,14.0,67.0,67.0,116.0,120.0,57.0,57.0,135.0,16.6,4.81
876,51.016923,30.095167,0.11,0.12,7.0,7.0,16.0,17.0,56.0,56.0,132.0,132.0,63.0,63.0,110.0,6.3,5.76
877,51.018467,30.082277,0.1,0.12,7.0,7.0,15.0,16.0,50.0,49.0,129.0,128.0,67.0,67.0,106.0,3.0,6.61
878,51.017645,30.064353,0.11,0.12,7.0,5.0,16.0,18.0,44.0,44.0,125.0,124.0,69.0,69.0,106.0,1.8,7.39
879,51.01669,30.05093,0.11,0.11,5.0,5.0,17.0,18.0,43.0,43.0,134.0,133.0,68.0,68.0,106.0,15.3,5.82
880,51.01712,30.04675,0.11,0.12,4.0,4.0,19.0,20.0,48.0,47.0,134.0,133.0,68.0,68.0,112.0,7.6,5.98
881,51.01683,30.0377,0.11,0.11,3.0,3.0,18.0,20.0,52.0,52.0,133.0,131.0,66.0,66.0,122.0,16.4,5.23
882,51.016936,30.033279,0.09,0.1,4.0,4.0,17.0,19.0,56.0,56.0,132.0,131.0,66.0,66.0,126.0,11.9,5.68
883,51.016936,30.028519,0.1,0.1,5.0,5.0,17.0,19.0,57.0,57.0,135.0,134.0,65.0,65.0,128.0,21.5,4.35
884,51.01689,30.02491,0.09,0.09,5.0,5.0,18.0,20.0,55.0,55.0,131.0,132.0,62.0,62.0,125.0,27.6,4.71
885,51.016936,30.019,0.11,0.12,5.0,4.0,17.0,19.0,59.0,59.0,132.0,131.0,62.0,61.0,124.0,29.5,4.45
886,51.01729,30.01446,0.09,0.1,4.0,4.0,17.0,18.0,57.0,57.0,131.0,130.0,60.0,60.0,124.0,14.5,5.51
887,51.01733,30.01091,0.11,0.12,4.0,4.0,17.0,18.0,58.0,59.0,132.0,130.0,60.0,60.0,125.0,9.2,5.6
888,51.015104,29.995365,0.1,0.11,4.0,5.0,16.0,17.0,58.0,58.0,128.0,128.0,63.0,62.0,117.0,10.7,6.35
889,51.016923,29.98093,0.11,0.11,4.0,4.0,15.0,17.0,56.0,56.0,131.0,130.0,64.0,64.0,124.0,19.8,4.72
890,51.01733,29.96693,0.11,0.12,5.0,4.0,18.0,20.0,52.0,52.0,133.0,134.0,66.0,66.0,120.0,29.3,5.15
891,51.016936,29.961884,0.1,0.11,5.0,5.0,16.0,18.0,52.0,52.0,130.0,129.0,66.0,66.0,121.0,11.0,6.46
892,51.016936,29.957124,0.1,0.1,5.0,5.0,17.0,18.0,54.0,54.0,129.0,131.0,65.0,65.0,121.0,21.0,5.07
893,51.016923,29.952333,0.09,0.09,4.0,4.0,18.0,19.0,54.0,53.0,130.0,132.0,64.0,64.0,122.0,17.5,5.06
894,51.016936,29.947605,0.09,0.1,4.0,4.0,18.0,20.0,59.0,59.0,136.0,137.0,64.0,64.0,125.0,13.4,5.32
895,51.016936,29.942845,0.1,0.12,3.0,4.0,18.0,20.0,60.0,60.0,135.0,133.0,65.0,65.0,130.0,11.5,5.3
896,51.016923,29.938092,0.1,0.12,4.0,4.0,18.0,20.0,56.0,56.0,134.0,133.0,64.0,64.0,130.0,13.5,5.21
897,51.016923,29.923812,0.13,0.13,3.0,3.0,15.0,16.0,56.0,56.0,132.0,131.0,62.0,62.0,131.0,13.0,5.78
898,51.01651,29.9092,0.09,0.11,3.0,3.0,13.0,14.0,70.0,70.0,130.0,131.0,57.0,57.0,136.0,29.3,5.36
899,51.016779,29.896551,0.1,0.12,10.0,9.0,10.0,11.0,68.0,68.0,120.0,126.0,55.0,55.0,157.0,21.4,4.48
900,51.016923,29.880973,0.11,0.11,8.0,8.0,12.0,13.0,71.0,71.0,126.0,128.0,56.0,56.0,167.0,7.4,5.62
901,51.01713,29.86675,0.1,0.11,3.0,3.0,17.0,19.0,59.0,59.0,136.0,135.0,64.0,64.0,140.0,5.1,6.9
902,51.016936,29.861932,0.11,0.11,3.0,3.0,16.0,17.0,54.0,54.0,136.0,137.0,62.0,62.0,143.0,13.4,5.69
903,51.016936,29.857172,0.1,0.1,5.0,4.0,15.0,16.0,53.0,53.0,135.0,136.0,63.0,63.0,143.0,7.4,5.92
904,51.01694,29.85252,0.09,0.11,3.0,4.0,15.0,17.0,54.0,54.0,137.0,137.0,61.0,61.0,145.0,3.8,6.66
905,51.016923,29.838134,0.11,0.11,4.0,4.0,13.0,15.0,64.0,64.0,133.0,133.0,60.0,60.0,146.0,5.7,6.74
906,51.01673,29.82278,0.1,0.1,4.0,4.0,13.0,15.0,69.0,69.0,129.0,130.0,60.0,59.0,153.0,5.0,6.71
907,51.016923,29.809575,0.1,0.11,4.0,4.0,14.0,16.0,60.0,60.0,131.0,129.0,60.0,60.0,151.0,14.8,5.87
908,51.016936,29.795297,0.11,0.11,7.0,7.0,13.0,15.0,68.0,68.0,121.0,126.0,63.0,63.0,154.0,28.3,4.28
909,51.01672,29.7806,0.09,0.1,5.0,5.0,14.0,15.0,69.0,69.0,129.0,130.0,63.0,63.0,132.0,10.1,6.81
910,51.016923,29.766736,0.11,0.11,4.0,4.0,18.0,20.0,58.0,58.0,139.0,138.0,65.0,65.0,142.0,7.0,5.98
911,51.017346,29.75464,0.1,0.11,3.0,3.0,18.0,20.0,53.0,53.0,137.0,135.0,65.0,65.0,151.0,4.4,6.39
912,51.017546,29.740941,0.1,0.1,3.0,3.0,17.0,19.0,54.0,54.0,136.0,134.0,62.0,62.0,158.0,7.1,5.7
913,51.016923,29.723898,0.1,0.11,3.0,3.0,16.0,18.0,63.0,62.0,134.0,132.0,62.0,62.0,162.0,3.0,6.6
914,51.016923,29.709618,0.1,0.11,4.0,4.0,16.0,18.0,55.0,55.0,137.0,137.0,63.0,63.0,156.0,10.8,6.08
915,51.016936,29.700103,0.11,0.11,3.0,4.0,16.0,17.0,55.0,55.0,138.0,137.0,62.0,62.0,161.0,15.2,5.24
916,51.01699,29.69527,0.11,0.12,3.0,3.0,16.0,17.0,57.0,57.0,137.0,135.0,61.0,61.0,165.0,3.8,6.6
917,51.016936,29.690585,0.1,0.11,3.0,3.0,15.0,16.0,56.0,57.0,137.0,136.0,58.0,59.0,167.0,6.4,5.73
918,51.016936,29.685825,0.11,0.11,4.0,4.0,16.0,18.0,58.0,58.0,138.0,137.0,60.0,60.0,167.0,2.8,7.0
919,51.016936,29.681065,0.11,0.12,4.0,4.0,17.0,18.0,57.0,56.0,136.0,135.0,60.0,60.0,167.0,6.4,6.09
920,51.016936,29.666786,0.11,0.11,3.0,4.0,18.0,20.0,57.0,56.0,137.0,134.0,63.0,63.0,171.0,4.0,6.96
921,51.016936,29.652507,0.1,0.11,3.0,3.0,14.0,15.0,59.0,58.0,140.0,138.0,61.0,61.0,173.0,12.3,5.44
922,51.016923,29.63822,0.11,0.12,3.0,3.0,19.0,20.0,56.0,56.0,134.0,132.0,63.0,63.0,178.0,13.3,5.31
923,51.016936,29.628709,0.12,0.13,3.0,4.0,18.0,20.0,57.0,57.0,133.0,132.0,63.0,63.0,173.0,7.5,5.73
924,51.016936,29.62395,0.14,0.14,4.0,4.0,16.0,17.0,56.0,56.0,135.0,133.0,61.0,61.0,172.0,13.1,5.89
925,51.017298,29.610322,0.1,0.12,4.0,4.0,17.0,19.0,56.0,55.0,137.0,135.0,61.0,61.0,171.0,6.8,5.95
926,51.016923,29.595381,0.11,0.12,3.0,3.0,18.0,19.0,52.0,52.0,138.0,136.0,63.0,63.0,173.0,4.1,6.18
927,51.016923,29.581102,0.1,0.11,4.0,4.0,18.0,20.0,63.0,63.0,135.0,134.0,62.0,62.0,170.0,9.1,5.6
928,51.016936,29.566834,0.09,0.1,5.0,4.0,17.0,18.0,55.0,54.0,135.0,134.0,60.0,60.0,175.0,25.3,5.0
929,51.016936,29.562074,0.1,0.1,5.0,4.0,18.0,19.0,55.0,55.0,135.0,134.0,60.0,60.0,171.0,10.1,5.28
930,51.016936,29.552555,0.1,0.11,5.0,6.0,17.0,19.0,54.0,54.0,134.0,132.0,61.0,61.0,170.0,4.5,6.78
931,51.016923,29.538263,0.11,0.11,5.0,5.0,14.0,15.0,52.0,52.0,132.0,131.0,64.0,64.0,181.0,15.8,4.92
932,51.01683,29.52235,0.11,0.13,4.0,4.0,16.0,18.0,54.0,54.0,133.0,133.0,61.0,61.0,167.0,8.5,5.51
933,51.016936,29.519238,0.1,0.11,4.0,4.0,17.0,19.0,56.0,56.0,137.0,135.0,61.0,61.0,167.0,4.6,6.88
934,51.016936,29.514478,0.11,0.11,4.0,4.0,18.0,19.0,57.0,58.0,135.0,133.0,63.0,63.0,173.0,4.2,6.47
935,51.01756,29.5101,0.1,0.11,5.0,5.0,19.0,21.0,55.0,54.0,132.0,129.0,62.0,62.0,167.0,3.8,6.98
936,51.016936,29.494968,0.09,0.1,7.0,6.0,19.0,21.0,55.0,55.0,133.0,134.0,66.0,66.0,166.0,0.8,8.05
937,51.01702,29.49104,0.09,0.1,5.0,4.0,18.0,19.0,57.0,56.0,133.0,131.0,64.0,64.0,169.0,4.6,6.97
938,51.016923,29.481023,0.1,0.11,4.0,5.0,19.0,21.0,53.0,52.0,132.0,130.0,64.0,64.0,173.0,4.5,6.15
939,51.016923,29.466865,0.11,1.12,3.0,4.0,19.0,21.0,59.0,59.0,133.0,132.0,64.0,64.0,170.0,17.3,5.4
940,51.013938,29.514478,0.11,0.11,4.0,4.0,17.0,18.0,57.0,57.0,133.0,131.0,63.0,63.0,167.0,11.0,5.55
941,51.013938,29.519238,0.1,0.1,4.0,4.0,16.0,18.0,56.0,56.0,133.0,132.0,60.0,60.0,177.0,31.6,4.16
942,51.014408,29.523611,0.1,0.11,4.0,4.0,15.0,17.0,59.0,59.0,129.0,128.0,62.0,62.0,167.0,5.1,6.01
943,51.013938,29.61919,0.09,0.11,4.0,4.0,17.0,19.0,63.0,62.0,138.0,137.0,59.0,59.0,168.0,8.3,5.9
944,51.01434,29.62337,0.11,0.11,4.0,4.0,17.0,18.0,60.0,60.0,137.0,134.0,62.0,62.0,170.0,11.2,5.46
945,51.013938,29.681065,0.11,0.12,4.0,3.0,19.0,20.0,57.0,57.0,137.0,136.0,61.0,61.0,172.0,4.0,6.38
946,51.013938,29.685825,0.1,0.12,4.0,4.0,16.0,17.0,58.0,58.0,138.0,135.0,61.0,61.0,166.0,12.9,5.43
947,51.013938,29.690585,0.11,0.11,4.0,4.0,16.0,17.0,57.0,57.0,138.0,136.0,60.0,60.0,162.0,9.6,5.64
948,51.013938,29.695343,0.1,0.11,4.0,4.0,16.0,18.0,55.0,55.0,137.0,135.0,61.0,61.0,159.0,7.6,6.06
949,51.01453,29.70056,0.09,0.11,4.0,4.0,15.0,17.0,57.0,56.0,137.0,135.0,62.0,62.0,156.0,10.1,5.78
950,51.013938,29.852412,0.09,0.09,3.0,4.0,16.0,17.0,55.0,55.0,137.0,137.0,61.0,61.0,144.0,5.3,6.71
951,51.013906,29.858363,0.1,0.1,5.0,5.0,15.0,16.0,53.0,53.0,132.0,132.0,61.0,61.0,145.0,6.9,5.82
952,51.013938,29.861932,0.1,0.11,4.0,4.0,15.0,17.0,56.0,56.0,136.0,134.0,63.0,64.0,142.0,6.5,6.83
953,51.013658,29.866167,0.09,0.1,3.0,3.0,15.0,17.0,57.0,56.0,136.0,138.0,63.0,63.0,143.0,6.6,5.84
954,51.013938,29.933325,0.14,0.15,4.0,4.0,18.0,20.0,54.0,54.0,132.0,130.0,65.0,65.0,127.0,12.1,6.3
955,51.013938,29.938085,0.13,0.15,4.0,4.0,18.0,20.0,53.0,53.0,131.0,130.0,66.0,66.0,127.0,33.0,4.41
956,51.013938,29.942845,0.11,0.12,5.0,5.0,18.0,20.0,54.0,54.0,132.0,130.0,63.0,63.0,125.0,28.5,4.82
957,51.01407,29.94808,0.1,0.12,4.0,4.0,17.0,19.0,54.0,53.0,134.0,135.0,64.0,64.0,127.0,15.2,5.64
958,51.013938,30.023759,0.11,0.12,5.0,5.0,18.0,20.0,52.0,52.0,130.0,129.0,61.0,61.0,126.0,19.8,4.43
959,51.013938,30.028519,0.12,0.12,4.0,4.0,19.0,20.0,57.0,58.0,136.0,137.0,61.0,61.0,127.0,13.0,5.44
960,51.013938,30.033279,0.11,0.11,4.0,4.0,17.0,19.0,52.0,52.0,133.0,131.0,63.0,63.0,124.0,5.3,6.56
961,51.013938,30.038037,0.1,0.12,4.0,4.0,19.0,20.0,50.0,50.0,132.0,131.0,66.0,66.0,117.0,19.4,5.28
962,51.013938,30.042797,0.1,0.12,4.0,5.0,20.0,22.0,52.0,51.0,134.0,133.0,67.0,67.0,108.0,15.4,5.72
963,51.010941,30.033279,0.1,0.11,5.0,5.0,19.0,20.0,45.0,45.0,131.0,131.0,66.0,66.0,108.0,36.2,4.57
964,51.0116,30.02819,0.11,0.12,4.0,4.0,18.0,19.0,48.0,47.0,130.0,129.0,62.0,62.0,117.0,38.6,4.23
965,51.010941,30.023759,0.11,0.12,5.0,4.0,18.0,20.0,49.0,49.0,131.0,131.0,61.0,61.0,110.0,4.2,7.61
966,51.010941,30.018999,0.11,0.12,5.0,5.0,18.0,20.0,53.0,52.0,132.0,131.0,61.0,61.0,112.0,23.5,5.08
967,51.010941,29.86669,0.1,0.1,3.0,3.0,15.0,17.0,59.0,59.0,135.0,136.0,63.0,63.0,143.0,1.5,8.02
968,51.011303,29.862756,0.1,0.1,3.0,3.0,15.0,17.0,59.0,58.0,137.0,138.0,63.0,63.0,144.0,6.4,6.01
969,51.01114,29.85768,0.11,0.11,4.0,4.0,16.0,18.0,55.0,55.0,136.0,135.0,62.0,62.0,144.0,9.3,6.37
970,51.01099,29.85152,0.09,0.09,3.0,4.0,16.0,17.0,57.0,57.0,134.0,133.0,63.0,64.0,146.0,4.2,6.27
971,51.0105,29.77162,0.11,0.11,4.0,4.0,17.0,18.0,63.0,63.0,133.0,132.0,64.0,64.0,138.0,11.1,6.0
972,51.010941,29.766738,0.09,0.09,4.0,4.0,16.0,18.0,62.0,62.0,136.0,135.0,64.0,64.0,141.0,10.1,5.67
973,51.010941,29.700103,0.1,0.1,5.0,4.0,15.0,17.0,53.0,53.0,135.0,133.0,62.0,61.0,157.0,9.3,6.21
974,51.010941,29.695343,0.09,0.11,5.0,5.0,16.0,18.0,54.0,53.0,134.0,134.0,63.0,63.0,159.0,3.4,7.48
975,51.010941,29.690585,0.09,0.1,5.0,4.0,16.0,18.0,55.0,54.0,137.0,135.0,62.0,62.0,162.0,10.4,5.93
976,51.010941,29.685825,0.1,0.1,5.0,4.0,16.0,18.0,51.0,52.0,137.0,136.0,62.0,63.0,167.0,3.9,6.7
977,51.010941,29.681065,0.11,0.12,4.0,4.0,18.0,20.0,54.0,54.0,139.0,138.0,63.0,62.0,173.0,13.9,5.35
978,51.011283,29.61909,0.11,0.13,4.0,4.0,16.0,17.0,65.0,65.0,135.0,134.0,61.0,61.0,169.0,3.6,6.3
979,51.010941,29.523996,0.1,0.11,4.0,4.0,15.0,17.0,59.0,59.0,129.0,129.0,61.0,61.0,165.0,20.7,4.99
980,51.010941,29.519238,0.11,0.12,4.0,4.0,14.0,15.0,58.0,58.0,129.0,130.0,61.0,61.0,168.0,17.5,5.39
981,51.008519,29.467638,0.11,0.11,4.0,4.0,17.0,19.0,57.0,57.0,138.0,137.0,64.0,64.0,168.0,7.1,6.66
982,51.008519,29.481917,0.1,0.12,3.0,3.0,18.0,19.0,52.0,53.0,138.0,137.0,70.0,71.0,173.0,5.4,6.03
983,51.00793,29.495424,0.1,0.11,4.0,4.0,18.0,20.0,54.0,54.0,133.0,135.0,64.0,64.0,169.0,1.0,8.52
984,51.007943,29.509718,0.1,0.12,4.0,4.0,15.0,17.0,54.0,54.0,128.0,126.0,63.0,63.0,164.0,3.8,6.89
985,51.00804,29.52415,0.1,0.11,4.0,4.0,15.0,17.0,57.0,57.0,131.0,133.0,62.0,61.0,161.0,9.4,6.3
986,51.008532,29.539049,0.1,0.12,7.0,7.0,16.0,19.0,52.0,52.0,129.0,130.0,63.0,62.0,165.0,3.3,7.55
987,51.008519,29.553315,0.1,0.11,5.0,5.0,14.0,15.0,54.0,53.0,129.0,129.0,63.0,63.0,174.0,7.0,6.17
988,51.007943,29.566834,0.11,0.11,4.0,4.0,16.0,18.0,60.0,60.0,136.0,134.0,63.0,63.0,166.0,4.3,6.6
989,51.00793,29.581102,0.11,0.12,5.0,4.0,13.0,14.0,66.0,65.0,132.0,132.0,60.0,60.0,170.0,17.9,5.01
990,51.00793,29.595381,0.11,0.12,5.0,5.0,15.0,16.0,65.0,65.0,128.0,128.0,58.0,58.0,175.0,5.9,6.02
991,51.00793,29.609661,0.1,0.11,3.0,4.0,15.0,16.0,65.0,65.0,141.0,139.0,59.0,59.0,169.0,5.5,6.37
992,51.00793,29.62394,0.1,0.1,3.0,4.0,14.0,15.0,66.0,66.0,135.0,134.0,62.0,62.0,171.0,14.7,4.86
993,51.00793,29.63822,0.11,0.12,3.0,3.0,18.0,19.0,51.0,51.0,136.0,135.0,65.0,65.0,178.0,9.1,5.75
994,51.00793,29.6525,0.12,0.12,4.0,4.0,18.0,19.0,50.0,50.0,136.0,134.0,63.0,63.0,177.0,5.9,6.11
995,51.00793,29.666779,0.11,0.12,3.0,3.0,19.0,21.0,57.0,57.0,139.0,137.0,62.0,62.0,175.0,3.6,6.44
996,51.007943,29.681065,0.1,0.11,5.0,5.0,18.0,19.0,52.0,52.0,135.0,134.0,62.0,62.0,173.0,5.5,6.41
997,51.007943,29.690585,0.11,0.12,4.0,4.0,15.0,17.0,55.0,56.0,139.0,137.0,60.0,60.0,166.0,11.5,5.58
998,51.00793,29.695338,0.11,0.11,5.0,5.0,17.0,18.0,56.0,56.0,134.0,133.0,62.0,62.0,160.0,11.0,5.52
999,51.007943,29.700103,0.1,0.11,5.0,4.0,16.0,18.0,50.0,49.0,139.0,137.0,62.0,62.0,159.0,15.9,5.87
1000,51.00793,29.709618,0.11,0.11,3.0,4.0,18.0,19.0,53.0,52.0,137.0,135.0,62.0,62.0,165.0,7.2,5.95
1001,51.007465,29.722611,0.1,0.12,4.0,4.0,16.0,18.0,59.0,59.0,135.0,134.0,60.0,60.0,163.0,7.4,5.48
1002,51.00793,29.738177,0.11,0.12,3.0,3.0,18.0,20.0,49.0,48.0,136.0,134.0,62.0,62.0,159.0,10.2,5.5
1003,51.00793,29.752457,0.13,0.13,3.0,4.0,17.0,19.0,49.0,49.0,137.0,135.0,65.0,65.0,148.0,20.2,5.44
1004,51.007364,29.767877,0.1,0.12,4.0,4.0,17.0,19.0,61.0,60.0,138.0,136.0,63.0,63.0,140.0,15.7,5.99
1005,51.008,29.77188,0.09,0.1,4.0,4.0,17.0,19.0,64.0,63.0,136.0,135.0,64.0,64.0,140.0,7.5,6.37
1006,51.007943,29.776258,0.09,0.09,4.0,4.0,15.0,16.0,67.0,66.0,133.0,132.0,63.0,63.0,141.0,15.0,5.46
1007,51.007643,29.781017,0.09,0.1,4.0,4.0,16.0,18.0,67.0,67.0,134.0,133.0,64.0,64.0,139.0,12.4,5.13
1008,51.008657,29.795361,0.1,0.12,5.0,5.0,15.0,17.0,65.0,65.0,132.0,130.0,63.0,63.0,136.0,30.5,4.72
1009,51.00793,29.809575,0.1,0.1,5.0,5.0,14.0,15.0,71.0,71.0,129.0,129.0,60.0,60.0,152.0,13.2,5.64
1010,51.009015,29.824177,0.1,0.11,4.0,4.0,13.0,15.0,72.0,71.0,129.0,129.0,60.0,60.0,161.0,8.9,6.12
1011,51.008716,29.838066,0.1,0.1,4.0,4.0,14.0,16.0,68.0,68.0,134.0,134.0,60.0,60.0,147.0,6.9,6.6
1012,51.007943,29.852412,0.1,0.1,3.0,4.0,16.0,17.0,52.0,52.0,138.0,139.0,62.0,62.0,147.0,4.9,6.32
1013,51.007943,29.857172,0.11,0.11,3.0,4.0,17.0,18.0,55.0,55.0,137.0,139.0,62.0,62.0,148.0,13.5,5.57
1014,51.007943,29.861932,0.1,0.12,3.0,3.0,16.0,18.0,54.0,54.0,135.0,135.0,63.0,63.0,145.0,4.7,6.27
1015,51.0079,29.86667,0.11,0.11,4.0,3.0,15.0,17.0,59.0,58.0,135.0,136.0,63.0,63.0,145.0,5.3,6.17
1016,51.007943,29.87145,0.11,0.11,4.0,4.0,16.0,17.0,60.0,60.0,133.0,131.0,63.0,63.0,143.0,10.1,5.42
1017,51.00793,29.880973,0.11,0.12,3.0,3.0,17.0,18.0,59.0,58.0,136.0,135.0,63.0,63.0,142.0,4.6,6.13
1018,51.007943,29.895249,0.12,0.12,4.0,4.0,18.0,20.0,58.0,57.0,134.0,134.0,61.0,61.0,137.0,5.5,6.58
1019,51.00793,29.909532,0.11,0.12,4.0,4.0,19.0,20.0,51.0,50.0,133.0,132.0,61.0,61.0,135.0,0.5,8.21
1020,51.00793,29.923812,0.12,0.13,3.0,3.0,18.0,20.0,52.0,52.0,128.0,126.0,65.0,65.0,133.0,13.1,5.64
1021,51.007943,29.938085,0.12,0.13,5.0,5.0,18.0,20.0,49.0,49.0,129.0,128.0,65.0,65.0,132.0,13.3,6.05
1022,51.00832,29.95249,0.12,0.12,4.0,4.0,18.0,19.0,54.0,53.0,135.0,136.0,70.0,71.0,137.0,2.5,6.67
1023,51.00793,29.966651,0.11,0.11,5.0,4.0,19.0,21.0,53.0,53.0,134.0,134.0,65.0,65.0,134.0,7.2,6.12
1024,51.00793,29.98093,0.1,0.12,4.0,5.0,17.0,19.0,53.0,52.0,132.0,132.0,64.0,64.0,136.0,12.2,5.71
1025,51.00722,29.994679,0.11,0.12,4.0,4.0,20.0,21.0,47.0,47.0,136.0,135.0,65.0,65.0,134.0,3.4,6.38
1026,51.00793,30.00949,0.12,0.12,5.0,5.0,19.0,20.0,53.0,53.0,132.0,131.0,64.0,64.0,126.0,14.8,5.26
1027,51.007943,30.01424,0.11,0.12,5.0,5.0,19.0,20.0,52.0,52.0,131.0,129.0,63.0,63.0,125.0,7.7,5.91
1028,51.0072,30.01928,0.11,0.12,5.0,5.0,19.0,20.0,43.0,43.0,131.0,130.0,63.0,63.0,130.0,14.0,5.13
1029,51.00795,30.02355,0.12,0.13,5.0,4.0,19.0,21.0,46.0,45.0,133.0,131.0,63.0,63.0,123.0,18.1,4.68
1030,51.008797,30.037393,0.11,0.12,5.0,5.0,20.0,21.0,44.0,44.0,128.0,129.0,67.0,67.0,107.0,1.6,7.21
1031,51.008301,30.051307,0.12,0.12,8.0,8.0,18.0,19.0,39.0,39.0,125.0,124.0,69.0,68.0,106.0,4.1,6.39
1032,51.00793,30.066608,0.1,0.12,8.0,8.0,16.0,17.0,37.0,37.0,124.0,123.0,71.0,71.0,107.0,3.6,7.53
1033,51.004945,30.00948,0.11,0.11,5.0,5.0,19.0,20.0,49.0,48.0,130.0,130.0,63.0,62.0,132.0,12.5,5.2
1034,51.00467,30.00338,0.11,0.12,4.0,4.0,20.0,21.0,50.0,49.0,133.0,132.0,61.0,61.0,132.0,4.5,5.93
1035,51.004945,29.999961,0.11,0.13,4.0,4.0,18.0,19.0,51.0,51.0,134.0,133.0,61.0,60.0,131.0,4.2,6.3
1036,51.004945,29.86669,0.1,0.11,3.0,4.0,16.0,18.0,59.0,59.0,137.0,139.0,61.0,61.0,144.0,6.2,6.41
1037,51.004945,29.861932,0.1,0.1,4.0,4.0,16.0,17.0,54.0,53.0,134.0,135.0,64.0,64.0,146.0,8.4,6.03
1038,51.0051,29.79124,0.09,0.1,5.0,5.0,16.0,17.0,60.0,60.0,134.0,133.0,64.0,64.0,130.0,23.8,4.56
1039,51.004945,29.785777,0.09,0.09,4.0,5.0,16.0,18.0,62.0,62.0,134.0,132.0,65.0,65.0,129.0,21.4,5.19
1040,51.004945,29.781017,0.09,0.1,3.0,3.0,17.0,19.0,63.0,63.0,138.0,137.0,63.0,63.0,133.0,12.0,5.71
1041,51.004945,29.776258,0.09,0.09,3.0,3.0,16.0,17.0,63.0,63.0,138.0,137.0,63.0,63.0,139.0,11.3,5.76
1042,51.004945,29.771498,0.1,0.1,4.0,4.0,16.0,18.0,63.0,62.0,137.0,136.0,63.0,63.0,145.0,7.9,5.87
1043,51.004945,29.695343,0.09,0.1,3.0,4.0,16.0,18.0,56.0,55.0,137.0,135.0,62.0,62.0,163.0,20.7,4.56
