role,mode,feature_set,model_name,candidate_id,params,n_rows,n_features,cv_test_r2_mean,cv_test_r2_std,cv_train_r2_mean,gap_r2,cv_test_rmse_mean,cv_test_mae_mean,params_json
env_reference,env_mode,env_only,random_forest,random_forest__max_depth=8__max_features=0.5__min_samples_leaf=10__n_estimators=500__n_jobs=-1__random_state=42,"{'max_depth': 8, 'max_features': 0.5, 'min_samples_leaf': 10, 'n_estimators': 500, 'n_jobs': -1, 'random_state': 42}",3376,13,0.10462243152632385,0.024970593145524026,0.30453380835584787,0.19991137682952403,0.012452027509236543,0.009210003372570566,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}"
primary_candidate,nuclide_mode,env_plus_no_ratio,extra_trees,extra_trees__max_depth=6__max_features=1.0__min_samples_leaf=2__n_estimators=500__n_jobs=-1__random_state=42,"{'max_depth': 6, 'max_features': 1.0, 'min_samples_leaf': 2, 'n_estimators': 500, 'n_jobs': -1, 'random_state': 42}",545,18,0.2697975348787143,0.05641000075974764,0.590620019423284,0.32082248454456974,0.011657471983686631,0.008884390083903751,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}"
