spatial_group,n_rows,lat_min,lat_max,lon_min,lon_max
1_8,2,50.765139,50.774105,29.552542,29.552555
1_9,2,50.765112,50.772658,29.565394,29.566822
20_16,2,51.142835,51.151827,29.70867,29.709623
20_21,2,51.142835,51.151827,29.809575,29.810527
20_25,2,51.142829,51.151822,29.880973,29.880973
21_23,2,51.160815,51.169808,29.852414,29.852414
21_24,2,51.160815,51.169808,29.866694,29.866694
21_25,2,51.160815,51.169808,29.880973,29.880973
22_22,2,51.178802,51.178802,29.823794,29.838134
22_23,2,51.178802,51.185996,29.852414,29.852414
2_11,2,50.783125,50.792092,29.609661,29.60967
2_13,2,50.783098,50.792092,29.6525,29.6525
2_14,2,50.783098,50.792118,29.666779,29.666786
2_16,2,50.783125,50.792118,29.709623,29.709623
2_18,2,50.783125,50.792092,29.752457,29.752459
2_19,2,50.783125,50.792092,29.766736,29.766738
2_21,2,50.783125,50.791758,29.809575,29.812035
2_23,2,50.783125,50.792525,29.852412,29.854761
2_24,2,50.783125,50.791518,29.86669,29.867643
2_26,2,50.783098,50.792814,29.908824,29.909532
2_28,2,50.782893,50.792092,29.951697,29.952371
2_29,2,50.783098,50.792092,29.966651,29.966651
2_34,2,50.783125,50.791707,30.066519,30.066596
2_36,2,50.783149,50.792763,30.108295,30.111161
2_37,2,50.783098,50.792092,30.123726,30.123726
2_4,2,50.783098,50.791649,29.466865,29.468427
2_9,2,50.783125,50.792284,29.5659,29.566834
3_11,2,50.80111,50.810078,29.609661,29.60967
3_13,2,50.800875,50.810102,29.652148,29.652507
3_14,2,50.801085,50.810078,29.666779,29.666779
3_16,2,50.80062,50.810102,29.709429,29.709623
3_18,2,50.80111,50.810102,29.752459,29.752459
3_19,2,50.801085,50.810078,29.766736,29.766736
3_21,2,50.801418,50.810157,29.811549,29.812035
3_23,2,50.802031,50.809958,29.851704,29.85209
3_24,2,50.801085,50.809958,29.86691,29.867135
3_28,2,50.800727,50.810078,29.951162,29.952371
3_29,2,50.80111,50.810078,29.966644,29.966651
3_3,2,50.80111,50.809407,29.45243,29.452603
3_34,2,50.801085,50.810102,30.066596,30.066608
3_36,2,50.801346,50.80991,30.108656,30.110233
3_4,2,50.80111,50.810102,29.466881,29.466881
3_8,2,50.801085,50.81083,29.552542,29.55265
4_16,2,50.819096,50.826066,29.709623,29.710254
4_36,2,50.8189,50.827762,30.10928,30.110895
5_11,2,50.846074,50.855067,29.60967,29.60967
5_23,2,50.846074,50.854922,29.851838,29.852412
5_24,2,50.846074,50.855067,29.86669,29.86669
5_26,2,50.846051,50.855044,29.909532,29.909532
5_31,2,50.846051,50.855067,30.00948,30.00949
5_37,2,50.845563,50.85554,30.122007,30.123768
5_6,2,50.846074,50.855044,29.509704,29.509718
5_9,2,50.84664,50.855485,29.566641,29.567595
6_11,2,50.86406,50.873171,29.60967,29.610899
6_13,2,50.864038,50.873052,29.6525,29.652507
6_14,2,50.86406,50.873052,29.666786,29.666786
6_19,2,50.864627,50.873052,29.766738,29.767509
6_21,2,50.864038,50.873052,29.809575,29.809575
6_26,2,50.86406,50.873052,29.909528,29.909528
6_28,2,50.86341,50.872767,29.95253,29.953222
6_29,2,50.864038,50.873052,29.966644,29.966651
6_31,2,50.864038,50.87289,30.00908,30.00949
6_36,2,50.864038,50.872453,30.109432,30.109447
6_6,2,50.864038,50.873031,29.509704,29.509704
7_13,2,50.881535,50.891037,29.652507,29.653384
7_14,2,50.882024,50.891037,29.666779,29.666786
7_18,2,50.882024,50.891017,29.752457,29.752457
7_19,2,50.882024,50.891037,29.766736,29.766738
7_21,2,50.882024,50.891037,29.809575,29.809575
7_26,2,50.882044,50.890952,29.90845,29.909528
7_28,2,50.882024,50.891037,29.952364,29.952371
7_29,2,50.882024,50.891037,29.966644,29.966651
7_3,2,50.882024,50.891017,29.452585,29.452585
7_31,2,50.882141,50.891037,30.00948,30.010113
7_33,2,50.882024,50.891017,30.052328,30.052328
7_34,2,50.88266,50.891017,30.066604,30.066608
7_36,2,50.882044,50.891037,30.109432,30.109432
7_4,2,50.882044,50.891017,29.466865,29.466881
7_9,2,50.88246,50.890165,29.56604,29.566247
8_16,2,50.900031,50.909023,29.709623,29.709623
8_18,2,50.900011,50.909004,29.752457,29.752457
8_19,2,50.900031,50.909023,29.766738,29.766738
8_2,2,50.900031,50.90868,29.4383,29.438323
8_21,2,50.900011,50.909023,29.809575,29.809575
8_24,2,50.900011,50.910072,29.86494,29.866694
8_26,2,50.899832,50.91015,29.90946,29.910453
8_3,2,50.90012,50.909004,29.452585,29.45278
8_31,2,50.900031,50.909004,30.00948,30.00949
8_33,2,50.900031,50.909004,30.052317,30.052328
8_34,2,50.900011,50.908769,30.064622,30.066608
8_36,2,50.900031,50.908905,30.10848,30.108656
8_4,2,50.89999,50.909023,29.46646,29.466881
8_9,2,50.900011,50.909004,29.566716,29.566822
0_3,1,50.756146,50.756146,29.451651,29.451651
0_36,1,50.756225,50.756225,30.107975,30.107975
10_1,1,50.944993,50.944993,29.409765,29.409765
10_28,1,50.944945,50.944945,29.954323,29.954323
10_37,1,50.94489,50.94489,30.123043,30.123043
12_38,1,50.989394,50.989394,30.151663,30.151663
12_4,1,50.99003,50.99003,29.467704,29.467704
13_1,1,50.998351,50.998351,29.409765,29.409765
13_41,1,51.007943,51.007943,30.209384,30.209384
13_46,1,51.016936,51.016936,30.309337,30.309337
13_47,1,51.016923,51.016923,30.323641,30.323641
13_51,1,51.008119,51.008119,30.407536,30.407536
14_11,1,51.034322,51.034322,29.60967,29.60967
14_43,1,51.025929,51.025929,30.252222,30.252222
14_44,1,51.025929,51.025929,30.265548,30.265548
14_50,1,51.017858,51.017858,30.380573,30.380573
15_2,1,51.043903,51.043903,29.438176,29.438176
15_47,1,51.052896,51.052896,30.33792,30.33792
15_48,1,51.052896,51.052896,30.3522,30.3522
16_12,1,51.061899,51.061899,29.638228,29.638228
16_3,1,51.061889,51.061889,29.452585,29.452585
