feature_set,mode,model_name,candidate_id,params_json,n_rows,n_features,block_size_deg,n_splits,cv_train_r2_mean,cv_train_r2_std,cv_test_r2_mean,cv_test_r2_std,cv_train_rmse_mean,cv_train_rmse_std,cv_test_rmse_mean,cv_test_rmse_std,cv_train_mae_mean,cv_train_mae_std,cv_test_mae_mean,cv_test_mae_std,gap_r2
env_only,env_mode,random_forest,random_forest__max_depth=8__max_features=0.5__min_samples_leaf=10__n_estimators=500__n_jobs=-1__random_state=42,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",3376,13,0.02,5,0.30453380835584787,0.0079545855593016,0.10462243152632385,0.024970593145524026,0.011071064386563172,0.0003100629398727703,0.012452027509236543,0.0015480506506004518,0.008132522799925962,0.00015951343562836258,0.009210003372570566,0.0006746922108382613,0.19991137682952403
env_only,env_mode,extra_trees,extra_trees__max_depth=6__max_features=1.0__min_samples_leaf=2__n_estimators=500__n_jobs=-1__random_state=42,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",3376,13,0.02,5,0.24228937877938198,0.009623213424269675,0.0986078362879667,0.023243124415824917,0.011555777272463853,0.00032341822869944145,0.012500714204917046,0.0016039311661495625,0.008693076289245772,0.00015568253911695085,0.009321362708063625,0.0007023895678074894,0.1436815424914153
env_only,env_mode,ridge_cv,ridge_cv__alphas=seq13,"{""alphas"": [0.001, 0.0031622776601683794, 0.01, 0.03162277660168379, 0.1, 0.31622776601683794, 1.0, 3.1622776601683795, 10.0, 31.622776601683793, 100.0, 316.22776601683796, 1000.0]}",3376,13,0.02,5,0.08048982515115632,0.006608250032656024,0.06444884129515369,0.023987312546487345,0.012731586999268643,0.00040010466483819353,0.01273136166787905,0.0016108204917661038,0.00936374742152852,0.00019377950458331094,0.009422819419994148,0.0007189482147040517,0.01604098385600264
env_plus_no_ratio,nuclide_mode,extra_trees,extra_trees__max_depth=6__max_features=1.0__min_samples_leaf=2__n_estimators=500__n_jobs=-1__random_state=42,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",545,18,0.02,5,0.590620019423284,0.014206131440002046,0.2697975348787143,0.05641000075974764,0.008756969505905423,0.0001493232686473757,0.011657471983686631,0.0006448869349340039,0.006939229501836544,0.00013592920166322688,0.008884390083903751,0.0004254517231697849,0.32082248454456974
env_plus_no_ratio,nuclide_mode,random_forest,random_forest__max_depth=8__max_features=0.5__min_samples_leaf=10__n_estimators=500__n_jobs=-1__random_state=42,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",545,18,0.02,5,0.4819479565873552,0.007436362499660854,0.246845752237813,0.035477121012214195,0.009852752778721245,0.00012381157017405948,0.011845924633805127,0.000573368524640283,0.0074409037365212784,9.844681468728119e-05,0.009041993915934568,0.0004172334445951735,0.23510220434954218
env_plus_no_ratio,nuclide_mode,ridge_cv,ridge_cv__alphas=seq13,"{""alphas"": [0.001, 0.0031622776601683794, 0.01, 0.03162277660168379, 0.1, 0.31622776601683794, 1.0, 3.1622776601683795, 10.0, 31.622776601683793, 100.0, 316.22776601683796, 1000.0]}",545,18,0.02,5,0.2676119675302626,0.004725831936496907,0.21230683542548787,0.01428136995418099,0.011715051278498607,0.00010891526998346871,0.012113227459101795,0.0004253894001029464,0.008972867315567155,0.00010635606290157801,0.009262813857893775,0.0003035805622992886,0.05530513210477475
