feature_set,mode,model_name,candidate_id,params_json,fold_index,n_features,n_train_rows,n_test_rows,n_train_groups,n_test_groups,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,block_size_deg,n_splits
env_only,env_mode,ridge_cv,ridge_cv__alphas=seq13,"{""alphas"": [0.001, 0.0031622776601683794, 0.01, 0.03162277660168379, 0.1, 0.31622776601683794, 1.0, 3.1622776601683795, 10.0, 31.622776601683793, 100.0, 316.22776601683796, 1000.0]}",2,13,2701,675,615,154,0.08044430849579542,0.06803474291110867,0.01326073611369355,0.010461327036828467,0.009650177800266042,0.008295848682187789,0.02,5
env_only,env_mode,ridge_cv,ridge_cv__alphas=seq13,"{""alphas"": [0.001, 0.0031622776601683794, 0.01, 0.03162277660168379, 0.1, 0.31622776601683794, 1.0, 3.1622776601683795, 10.0, 31.622776601683793, 100.0, 316.22776601683796, 1000.0]}",3,13,2701,675,615,154,0.07184302798671127,0.08920208264928031,0.01226647131587628,0.01457927626076372,0.009120516140548788,0.010329174919025422,0.02,5
env_only,env_mode,ridge_cv,ridge_cv__alphas=seq13,"{""alphas"": [0.001, 0.0031622776601683794, 0.01, 0.03162277660168379, 0.1, 0.31622776601683794, 1.0, 3.1622776601683795, 10.0, 31.622776601683793, 100.0, 316.22776601683796, 1000.0]}",4,13,2701,675,615,154,0.09000416688044177,0.041982849903437036,0.01227351836725443,0.014522911316995244,0.009179450678908999,0.0100112587389189,0.02,5
env_plus_no_ratio,nuclide_mode,extra_trees,extra_trees__max_depth=6__max_features=1.0__min_samples_leaf=2__n_estimators=500__n_jobs=-1__random_state=42,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",0,18,436,109,296,74,0.5764274431509395,0.28105267097013065,0.008749663594546849,0.012403004365262392,0.0068885931899622665,0.009674673441170144,0.02,5
env_plus_no_ratio,nuclide_mode,extra_trees,extra_trees__max_depth=6__max_features=1.0__min_samples_leaf=2__n_estimators=500__n_jobs=-1__random_state=42,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1,18,436,109,296,74,0.6042206643186926,0.3121932691207122,0.008653627824405275,0.011094526445976785,0.006812985204113888,0.008763667390108532,0.02,5
env_plus_no_ratio,nuclide_mode,extra_trees,extra_trees__max_depth=6__max_features=1.0__min_samples_leaf=2__n_estimators=500__n_jobs=-1__random_state=42,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",2,18,436,109,296,74,0.5844337142967563,0.2546584404975446,0.008919064841878164,0.011209079832828478,0.007095872042993934,0.008544919046167216,0.02,5
env_plus_no_ratio,nuclide_mode,extra_trees,extra_trees__max_depth=6__max_features=1.0__min_samples_leaf=2__n_estimators=500__n_jobs=-1__random_state=42,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",3,18,436,109,296,74,0.5772547132822057,0.3312125646364299,0.00892249936665415,0.011093851905222912,0.007106097387932443,0.008500023675883853,0.02,5
env_plus_no_ratio,nuclide_mode,extra_trees,extra_trees__max_depth=6__max_features=1.0__min_samples_leaf=2__n_estimators=500__n_jobs=-1__random_state=42,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",4,18,436,109,296,74,0.6107635620678266,0.1698707291687539,0.008539991902042684,0.012486897369142592,0.006792599684180186,0.008938666866189016,0.02,5
env_plus_no_ratio,nuclide_mode,random_forest,random_forest__max_depth=8__max_features=0.5__min_samples_leaf=10__n_estimators=500__n_jobs=-1__random_state=42,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",0,18,436,109,296,74,0.47931912991731374,0.2559500230276446,0.00970092751040982,0.012617677213178548,0.0072726900197082325,0.009789927505461218,0.02,5
env_plus_no_ratio,nuclide_mode,random_forest,random_forest__max_depth=8__max_features=0.5__min_samples_leaf=10__n_estimators=500__n_jobs=-1__random_state=42,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1,18,436,109,296,74,0.4789877650682518,0.2607597617801021,0.009928773797538181,0.011501867442976262,0.007400654783565716,0.009176068012000304,0.02,5
env_plus_no_ratio,nuclide_mode,random_forest,random_forest__max_depth=8__max_features=0.5__min_samples_leaf=10__n_estimators=500__n_jobs=-1__random_state=42,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",2,18,436,109,296,74,0.4769693505050274,0.2630334971649919,0.010006051586014463,0.011145926314931848,0.0075607461288767375,0.008619611912097038,0.02,5
env_plus_no_ratio,nuclide_mode,random_forest,random_forest__max_depth=8__max_features=0.5__min_samples_leaf=10__n_estimators=500__n_jobs=-1__random_state=42,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",3,18,436,109,296,74,0.47773966377354493,0.27717291021810164,0.009917236283949719,0.011533351327226231,0.007496484813130468,0.008745084957302128,0.02,5
env_plus_no_ratio,nuclide_mode,random_forest,random_forest__max_depth=8__max_features=0.5__min_samples_leaf=10__n_estimators=500__n_jobs=-1__random_state=42,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",4,18,436,109,296,74,0.49672387367263826,0.17731256899822467,0.009710774715694046,0.012430800870712744,0.007473942937325238,0.008879277192812151,0.02,5
env_plus_no_ratio,nuclide_mode,ridge_cv,ridge_cv__alphas=seq13,"{""alphas"": [0.001, 0.0031622776601683794, 0.01, 0.03162277660168379, 0.1, 0.31622776601683794, 1.0, 3.1622776601683795, 10.0, 31.622776601683793, 100.0, 316.22776601683796, 1000.0]}",0,18,436,109,296,74,0.26614988356491864,0.22461698349593873,0.011516781627284886,0.012880612092514883,0.008806203490578455,0.009733082299215717,0.02,5
env_plus_no_ratio,nuclide_mode,ridge_cv,ridge_cv__alphas=seq13,"{""alphas"": [0.001, 0.0031622776601683794, 0.01, 0.03162277660168379, 0.1, 0.31622776601683794, 1.0, 3.1622776601683795, 10.0, 31.622776601683793, 100.0, 316.22776601683796, 1000.0]}",1,18,436,109,296,74,0.27526984857603465,0.18745469580871754,0.011710078878666447,0.012058668362810391,0.008938698870443774,0.009371844777676212,0.02,5
env_plus_no_ratio,nuclide_mode,ridge_cv,ridge_cv__alphas=seq13,"{""alphas"": [0.001, 0.0031622776601683794, 0.01, 0.03162277660168379, 0.1, 0.31622776601683794, 1.0, 3.1622776601683795, 10.0, 31.622776601683793, 100.0, 316.22776601683796, 1000.0]}",2,18,436,109,296,74,0.2691223184187441,0.20502831293630908,0.01182827786097934,0.011576256050077453,0.009055384821488035,0.009147192183092422,0.02,5
env_plus_no_ratio,nuclide_mode,ridge_cv,ridge_cv__alphas=seq13,"{""alphas"": [0.001, 0.0031622776601683794, 0.01, 0.03162277660168379, 0.1, 0.31622776601683794, 1.0, 3.1622776601683795, 10.0, 31.622776601683793, 100.0, 316.22776601683796, 1000.0]}",3,18,436,109,296,74,0.2606837441379368,0.2229967628389402,0.01179946364166276,0.011957757050751024,0.009115107237589615,0.0087997837837383,0.02,5
env_plus_no_ratio,nuclide_mode,ridge_cv,ridge_cv__alphas=seq13,"{""alphas"": [0.001, 0.0031622776601683794, 0.01, 0.03162277660168379, 0.1, 0.31622776601683794, 1.0, 3.1622776601683795, 10.0, 31.622776601683793, 100.0, 316.22776601683796, 1000.0]}",4,18,436,109,296,74,0.26683404295367896,0.22143742204753392,0.011720654383899605,0.012092843739355227,0.0089489421577359,0.00926216624574622,0.02,5
