spatial_group,n_rows,lat_min,lat_max,lon_min,lon_max
2_4,1,50.800762,50.800762,29.479558,29.479558
2_5,1,50.79814,50.79814,29.5096,29.5096
3_12,1,50.816099,50.816099,29.638228,29.638228
3_2,1,50.818897,50.818897,29.452915,29.452915
3_34,1,50.8251,50.8251,30.09468,30.09468
4_15,1,50.828443,50.828443,29.697905,29.697905
4_18,1,50.831086,50.831086,29.771498,29.771498
4_23,1,50.828065,50.828065,29.866694,29.866694
4_25,1,50.82973,50.82973,29.90933,29.90933
4_28,1,50.846,50.846,29.9565,29.9565
4_33,1,50.84552,50.84552,30.06597,30.06597
4_36,1,50.829576,50.829576,30.122386,30.122386
4_4,1,50.827867,50.827867,29.478841,29.478841
5_10,1,50.855067,50.855067,29.60967,29.60967
5_12,1,50.855044,50.855044,29.652408,29.652408
5_14,1,50.85502,50.85502,29.69525,29.69525
5_15,1,50.85513,50.85513,29.70952,29.70952
5_19,1,50.8553,50.8553,29.78149,29.78149
5_21,1,50.85502,50.85502,29.824691,29.824691
5_22,1,50.86406,50.86406,29.852412,29.852412
5_23,1,50.855067,50.855067,29.86669,29.86669
5_25,1,50.855044,50.855044,29.909532,29.909532
5_27,1,50.85513,50.85513,29.9514,29.9514
5_28,1,50.85519,50.85519,29.96151,29.96151
5_32,1,50.85485,50.85485,30.03866,30.03866
5_34,1,50.854993,50.854993,30.080178,30.080178
5_36,1,50.85554,50.85554,30.123768,30.123768
5_4,1,50.855044,50.855044,29.481023,29.481023
5_6,1,50.854414,50.854414,29.524199,29.524199
6_10,1,50.882024,50.882024,29.609562,29.609562
6_12,1,50.881535,50.881535,29.653384,29.653384
6_15,1,50.88203,50.88203,29.69548,29.69548
6_16,1,50.88525,50.88525,29.71897,29.71897
6_17,1,50.88208,50.88208,29.73746,29.73746
6_19,1,50.882024,50.882024,29.781016,29.781016
6_21,1,50.882024,50.882024,29.823794,29.823794
6_25,1,50.882044,50.882044,29.909528,29.909528
6_27,1,50.882024,50.882024,29.952371,29.952371
6_34,1,50.882024,50.882024,30.080888,30.080888
6_36,1,50.882024,50.882024,30.123719,30.123719
6_4,1,50.882024,50.882024,29.481023,29.481023
6_6,1,50.88231,50.88231,29.5246,29.5246
6_8,1,50.88246,50.88246,29.56604,29.56604
7_14,1,50.90598,50.90598,29.6809,29.6809
7_15,1,50.8945,50.8945,29.7048,29.7048
7_29,1,50.900031,50.900031,29.995201,29.995201
7_5,1,50.897033,50.897033,29.502,29.502
8_10,1,50.909185,50.909185,29.610752,29.610752
8_11,1,50.91805,50.91805,29.63337,29.63337
8_14,1,50.908891,50.908891,29.695276,29.695276
8_15,1,50.9239,50.9239,29.70967,29.70967
8_16,1,50.924011,50.924011,29.723902,29.723902
8_17,1,50.908987,50.908987,29.736924,29.736924
8_19,1,50.9085,50.9085,29.780774,29.780774
8_2,1,50.90868,50.90868,29.4383,29.4383
8_21,1,50.909004,50.909004,29.823855,29.823855
8_23,1,50.910072,50.910072,29.86494,29.86494
8_25,1,50.91015,50.91015,29.90946,29.90946
8_28,1,50.91496,50.91496,29.96711,29.96711
8_29,1,50.909004,50.909004,29.99518,29.99518
8_32,1,50.908879,50.908879,30.037079,30.037079
8_33,1,50.908769,50.908769,30.064622,30.064622
8_36,1,50.908554,50.908554,30.122395,30.122395
8_4,1,50.909023,50.909023,29.48116,29.48116
8_5,1,50.92461,50.92461,29.51027,29.51027
8_7,1,50.921013,50.921013,29.538276,29.538276
9_10,1,50.935984,50.935984,29.609661,29.609661
9_14,1,50.936559,50.936559,29.695122,29.695122
9_17,1,50.93682,50.93682,29.73937,29.73937
9_19,1,50.935877,50.935877,29.780267,29.780267
9_2,1,50.93645,50.93645,29.438323,29.438323
9_21,1,50.93575,50.93575,29.82374,29.82374
9_22,1,50.93631,50.93631,29.85117,29.85117
9_27,1,50.93609,50.93609,29.95312,29.95312
9_30,1,50.936169,50.936169,29.997449,29.997449
9_32,1,50.93582,50.93582,30.03905,30.03905
9_34,1,50.935984,50.935984,30.080888,30.080888
9_36,1,50.935336,50.935336,30.122566,30.122566
9_4,1,50.935984,50.935984,29.481144,29.481144
9_5,1,50.92687,50.92687,29.49577,29.49577
9_6,1,50.935984,50.935984,29.523983,29.523983
9_8,1,50.936001,50.936001,29.566834,29.566834
