feature,importance
cs137_kBq_m2,0.3730331672044362
sr90_kBq_m2,0.12407063755453912
k40_Bq_kg,0.06840910290681339
soil_pH_b10,0.054433641130136025
soil_pH_b0,0.05105027683285891
clay_fraction_0_30,0.03737401646994637
clay_fraction_30_60,0.03283789785301467
elevation_m,0.02950725198480094
bulk_density_b0,0.028437541020131445
organic_carbon_b10,0.028367579682662646
sand_fraction_b10,0.02831751574827477
sand_fraction_b0,0.02813517767412152
organic_carbon_b0,0.02388559496735809
th232_Bq_kg,0.022180625258881537
slope_deg_final,0.022174496414099205
twi_scaled,0.01608270317822162
ra226_Bq_kg,0.016055572501253553
bulk_density_b10,0.015647201618450096
